Type,Use,Find,Notes
activity,4wding,4.?wd,
activity,4wding,4.?wheel.?drive,
activity,4wding,four.?wheel.?drive,
activity,4wding,awd,
activity,4wding,all.?wheel.?drive,
activity,birding,bird.?watching,
activity,birding,bird.?ing,
activity,birding,bird,
activity,birding,twitch.?ing,
activity,birding,twitch,
activity,boating,boating,
activity,boating,boat,
activity,boating,sail,
activity,boating,sailing,
activity,boating,sailed,
activity,campfire,camp.?fire,
activity,campfire,fire.?wood,
activity,caving,caving,
activity,caving,speleology,
activity,cycling,bike,
activity,cycling,biked,
activity,cycling,biking,
activity,cycling,cycle,
activity,cycling,cycled,
activity,cycling,cycling,
activity,cycling,mountain.?biking,
activity,cycling,mountain.?bike,
activity,cycling,mtb,
activity,diving,\\bdive\\b,
activity,diving,dived,
activity,diving,diving,
activity,diving,scuba,
activity,dog,dog(?!.fence), (- fence) *is it possible to search dog without nearby references to fence? Otherwise results might be skewed by references to the dog fence at Breakaways CP.
activity,dolphin,dolphin watching,
activity,fishing,fished,
activity,fishing,fishing,
activity,geocaching,geocache,
activity,geocaching,geocaching,
activity,horse riding,horse.?riding,
activity,kayaking,canoe,
activity,kayaking,canoed,
activity,kayaking,canoeing,
activity,kayaking,kayak,
activity,kayaking,kayaked,
activity,kayaking,kayaking,
activity,orienteering,orienteer,
activity,orienteering,orienteering,
activity,orienteering,orienteered,
activity,rock climbing,rock.?climbing ,
activity,snorkelling,snorkel,
activity,snorkelling,snorkelled,
activity,snorkelling,snorkelling,
activity,surfing,surf,
activity,surfing,surfed,
activity,surfing,surfing,
activity,swimming,swam,
activity,swimming,swum,
activity,swimming,swim,
activity,swimming,swimming,
activity,tennis,tennis,
activity,camping,tent,
activity,tour,tour,
activity,walking,bush.?walk,
activity,walking,bush.?walked,
activity,walking,bush.?walking,
activity,walking,hike,
activity,walking,hiked,
activity,walking,hiking,
activity,walking,walk,
activity,walking,walked,
activity,walking,walking,
activity,waterskiing,water.?ski,
activity,waterskiing,water.?skiied,
activity,waterskiing,water.?skiing,
activity,whale watching,whale*?watching,
facility,bbq,barbecue,
facility,bbq,barbeque,
facility,bbq,barbie,
facility,bbq,bbq,
facility,campsite,camp.?site,
facility,carpark,car.?park,
facility,carpark,car.?parking,
facility,carpark,parked,
facility,phone coverage,mobile coverage,
facility,phone coverage,phone coverage,
facility,picnic,picnic,
facility,picnic,picnicked,
facility,picnic,pincknicking,
facility,playground,play.?ground,
facility,public transport,bus,
facility,public transport,public transport,
facility,public transport,train,
facility,road,road,
facility,road,roads,
facility,shower,shower,
facility,shower,showers,
facility,sign,sign,
facility,sign,signage,
facility,sign,signs,
facility,toilet,toilet,
facility,toilet,toilets,
facility,tracks,track,
facility,tracks,tracks,
facility,tracks,trail,
facility,tracks,trails,
facility,water,drinking water,
facility,water,tap.?water,
facility,website,parks\\.sa\\.gov\\.au,
facility,website,web.?site,
other,book online,book online,
other,fees,fees,
other,free,free,
other,free entry,free entry,
other,book online,online booking,
other,permit,permit,
